"Read message","Nachricht lesen"
"Order Notes (%1)","Bestellhinweise (%1)"
"Order Notes","Bestellhinweise"
"Your Note","Deine Anmerkung"
"Order Note","Bestellhinweise"
Items, Produkte
"Added: %1","Zugefügt: %1"
Edit,Bearbeiten
"Show To Customer","Zeige es dem Kunden"
"Notify Customer by Email","Kunde per E-Mail benachrichtigen"
Delete,Löschen
"New Note","Neue Anmerkung"
"Email Note To Customer","E-Mail Notiz an den Kunden"
"Save Changes","Änderungen speichern"
"Submit","Senden"
"List is empty","Liste ist leer"
"[Order Notes] Customer added new note to order","[Bestellnotizen] Der Kunde hat eine neue Notiz zur Bestellung hinzugefügt."
"has added new note to order","hat neue Notiz zur Bestellung hinzugefügt"
"New note has been added to your order","Neue Notiz wurde zu Ihrer Bestellung hinzugefügt."
"New note has been added to your order","Neue Notiz wurde zu Ihrer Bestellung hinzugefügt."
"You may view note or reply at order view page in your account","Du kannst Notizen oder Antworten auf der Bestellseite in deinem Konto einsehen."
"Do you want to mark this note as read?","Möchten Sie diese Notiz als gelesen markieren?"
"Yes","Ja"
"No message","Keine Nachricht"
"There is no new message","Es gibt keine neue Nachricht"
"New Message","Neue Nachrichten"
"Mark as read","Als gelesen markieren"
"You marked this note as read.","Sie haben diese Notiz als gelesen markiert."
"Something went wrong while saving the note.","Beim Speichern der Notiz ist etwas schief gelaufen."
"Notify Customer by Email","Kunde per E-Mail benachrichtigen"
"Visible on Storefront","Sichtbar auf dem Kundenkonto"
"Show More Notes","Mehr Notizen anzeigen"
"Show Less Notes","Wenig Notizen anzeigen"
"Add Note","Notiz hinzufügen"
"Leave a Note","Notiz hinzufügen"