"Read message","Lire le message"
"Order Notes (%1)","Notes de commande (%1)"
"Order Notes","Notes de commande"
"Your Note","Votre Note"
"Order Note","Note de commande"
Items, Articles
"Added: %1","Ajouté: %1"
Edit, Modifier
"Show To Customer","Montrer au client"
"Notify Customer by Email","Aviser le client par courriel"
Delete, Supprimer
"New Note","Nouvelle note"
"Email Note To Customer","Note par courriel au client"
"Save Changes","Enregistrer les modifications"
"Submit","Soumettre"
"List is empty","La liste est vide"
"[Order Notes] Customer added new note to order","Notes de commande] Le client a ajouté une nouvelle note à sa commande."
"has added new note to order","a ajouté une nouvelle note à la commande"
"New note has been added to your order","Une nouvelle note a été ajoutée à votre commande"
"New note has been added to your to order","Une nouvelle note a été ajoutée à votre commande."
"You may view note or reply at order view page in your account","Vous pouvez consulter la page d'affichage des notes ou des réponses à la page d'affichage de la commande dans votre compte."
"Do you want to mark this note as read?","Voulez-vous marquer cette note comme lue ?"
"Yes","Oui"
"No message","Pas de message"
"There is no new message","Il n'y a pas de nouveau message"
"New Message","Nouveau message"
"Mark as read",""Marquer comme lu"
"You marked this note as read.","Vous avez marqué cette note comme lue."
"Something went wrong while saving the note.","Quelque chose s'est mal passé pendant la sauvegarde de la note."
"Notify Customer by Email","Aviser le client par courriel"
"Visible on Storefront","Synlig på Storefront"
"Show More Notes","visa fler anteckningar"
"Show Less Notes","Afficher moins de notes"
"Add Note","Ajouter une note"
"Leave a Note","Laisser une note"