"Read message","Läs meddelandet"
"Order Notes (%1)","Beställ anteckningar (%1)"
"Order Notes","Beställ anteckningar"
"Your Note","Din anteckning"
"Order Note","Beställningsnot"
Items,Artiklar
"Added: %1","Lagt till: %1"
Edit,Redigera
"Show To Customer","Visa till kund"
"Notify Customer by Email","Meddela kund via e-post"
Delete,Radera
"New Note","Ny anteckning"
"Email Note To Customer","E-postmeddelande till kunden"
"Save Changes","Spara ändringar"
"Submit","Lämna"
"List is empty","Listan är tom"
"[Order Notes] Customer added new note to order","[Order Notes] Kunden tillagde ny notering vid beställning"
"has added new note to order","har lagt till ny notering i beställning"
"New note has been added to your order","Ny anteckning har lagts till i din beställning"
"New note has been added to your to order","Ny anteckning har lagts till för din beställning"
"You may view note or reply at order view page in your account","Du kan visa anteckning eller svar på ordervisningssidan i ditt konto"
"Do you want to mark this note as read?","Vill du markera den här noten som läst?"
"Yes","Ja"
"No message","Inget meddelande"
"There is no new message","Det finns inget nytt meddelande"
"New Message","Nytt meddelande"
"Mark as read","markera som läst"
"You marked this note as read.","Du markerade den här noten som läst."
"Something went wrong while saving the note.","Något gick fel när du sparade noten."
"Notify Customer by Email","Meddela kund via e-post"
"Visible on Storefront","Synlig på kundkonto"
"Show More Notes","Visa fler anteckningar"
"Show Less Notes","Visa färre anteckningar"
"Add Note","Lägg till anteckning"
"Leave a Note","Lämna en anteckning"